latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month,year
43.5,10.0,2017-01-01 00:00:00,0.51182055,-1.3100979,3.339161,2.7340688448189066,BF2,1,2017
43.5,10.0,2017-01-01 01:00:00,-0.3750906,-0.98130244,2.653244,2.0420985543202597,BF2,1,2017
43.5,10.0,2017-01-01 02:00:00,-0.97574687,-0.31714875,2.4109573,1.9943742950820589,BF2,1,2017
43.5,10.0,2017-01-01 03:00:00,-0.923646,-0.029698908,2.5492153,1.7963520242424997,BF2,1,2017
43.5,10.0,2017-01-01 04:00:00,-0.9398153,0.30500305,2.8787498,1.9206517713738631,BF2,1,2017
43.5,10.0,2017-01-01 05:00:00,-0.7853093,0.7053329,3.2290916,2.051842900538552,BF2,1,2017
43.5,10.0,2017-01-01 06:00:00,-0.6487694,0.9429056,3.5848026,2.2248085181798993,BF2,1,2017
43.5,10.0,2017-01-01 07:00:00,-0.8032751,1.0728487,3.3049316,2.605226791947536,BF2,1,2017
43.5,10.0,2017-01-01 08:00:00,-1.0781517,1.2237928,3.5962105,3.1703620332612594,BF2,1,2017
43.5,10.0,2017-01-01 09:00:00,-1.056593,1.4278953,3.9801102,3.452868460716156,BF3,1,2017
43.5,10.0,2017-01-01 10:00:00,-0.029548407,1.224449,4.389513,2.380831459924913,BF2,1,2017
43.5,10.0,2017-01-01 11:00:00,0.21718168,1.717314,4.729786,3.3647803721200815,BF3,1,2017
43.5,10.0,2017-01-01 12:00:00,0.4321723,1.889259,5.493557,3.7672851649331913,BF3,1,2017
43.5,10.0,2017-01-01 13:00:00,1.3394448,1.9942634,6.0707474,4.669759733451132,BF3,1,2017
43.5,10.0,2017-01-01 14:00:00,2.4557192,1.7770354,6.727804,5.892257789792727,BF4,1,2017
43.5,10.0,2017-01-01 15:00:00,3.2947216,1.3675177,7.1680794,6.934185414410916,BF4,1,2017
43.5,10.0,2017-01-01 16:00:00,3.6654158,1.172603,7.2184153,7.480713365143156,BF4,1,2017
43.5,10.0,2017-01-01 17:00:00,3.6516418,0.8890908,7.4164057,7.305589983407143,BF4,1,2017
43.5,10.0,2017-01-01 18:00:00,3.148001,0.922561,7.4009686,6.3765888466668805,BF4,1,2017
43.5,10.0,2017-01-01 19:00:00,2.9246264,1.5644011,7.137206,6.447234406402351,BF4,1,2017
43.5,10.0,2017-01-01 20:00:00,3.088714,2.410344,7.777485,7.615781067268946,BF4,1,2017
43.5,10.0,2017-01-01 21:00:00,3.8450737,3.0036197,8.402327,9.48435231301972,BF5,1,2017
43.5,10.0,2017-01-01 22:00:00,4.154684,3.8961582,8.779514,11.071631875456035,BF6,1,2017
43.5,10.0,2017-01-01 23:00:00,4.8942757,3.7537458,8.929181,11.989682902800944,BF6,1,2017
43.5,10.0,2017-01-02 00:00:00,5.315873,3.3206022,9.0567,12.183564822938672,BF6,1,2017
43.5,10.0,2017-01-02 01:00:00,5.4074984,3.2182226,9.192272,12.232018196410895,BF6,1,2017
43.5,10.0,2017-01-02 02:00:00,5.3530025,3.5102665,9.666776,12.443126555310547,BF6,1,2017
43.5,10.0,2017-01-02 03:00:00,5.4080973,3.7839346,10.094971,12.830209631596627,BF6,1,2017
43.5,10.0,2017-01-02 04:00:00,5.849457,3.9217532,10.501018,13.689453952136043,BF6,1,2017
43.5,10.0,2017-01-02 05:00:00,6.1830215,4.3660536,10.872835,14.713269490415069,BF7,1,2017
43.5,10.0,2017-01-02 06:00:00,6.288421,4.6515346,11.036596,15.204419898829597,BF7,1,2017
43.5,10.0,2017-01-02 07:00:00,6.424362,4.942922,11.061429,15.7565243813088,BF7,1,2017
43.5,10.0,2017-01-02 08:00:00,6.870513,5.173932,11.768151,16.718590685453776,BF7,1,2017
43.5,10.0,2017-01-02 09:00:00,7.338222,5.278937,12.382255,17.571824905796426,BF8,1,2017
43.5,10.0,2017-01-02 10:00:00,7.035199,5.546698,12.882934,17.41449121250467,BF8,1,2017
43.5,10.0,2017-01-02 11:00:00,7.4094863,5.599857,13.161462,18.053584196547458,BF8,1,2017
43.5,10.0,2017-01-02 12:00:00,7.337623,5.685173,13.56281,18.043432773559605,BF8,1,2017
43.5,10.0,2017-01-02 13:00:00,7.608308,5.53226,13.900399,18.28580705116055,BF8,1,2017
43.5,10.0,2017-01-02 14:00:00,7.825095,5.5873876,14.405777,18.690346745170075,BF8,1,2017
43.5,10.0,2017-01-02 15:00:00,8.548517,5.8958383,15.013168,20.185873285147615,BF8,1,2017
43.5,10.0,2017-01-02 16:00:00,9.327634,5.9109325,15.8158655,21.465525131487592,BF9,1,2017
43.5,10.0,2017-01-02 17:00:00,9.772587,5.9785295,16.466211,22.26921967152289,BF9,1,2017
43.5,10.0,2017-01-02 18:00:00,9.686351,6.1741004,16.934004,22.328411930641888,BF9,1,2017
43.5,10.0,2017-01-02 19:00:00,9.799536,6.1905074,16.51185,22.531269378462383,BF9,1,2017
43.5,10.0,2017-01-02 20:00:00,9.8276825,6.1485057,16.766888,22.534135423698935,BF9,1,2017
43.5,10.0,2017-01-02 21:00:00,10.006741,6.3493266,17.162195,23.036714657773715,BF9,1,2017
43.5,10.0,2017-01-02 22:00:00,8.073023,6.8671303,16.846083,20.602108563641217,BF8,1,2017
43.5,10.0,2017-01-02 23:00:00,7.5999236,7.139486,16.658161,20.269283779477984,BF8,1,2017
43.5,10.0,2017-01-03 00:00:00,8.012538,6.609213,16.391714,20.190028758266678,BF8,1,2017
43.5,10.0,2017-01-03 01:00:00,9.127615,5.862368,16.188354,21.08696938606231,BF9,1,2017
43.5,10.0,2017-01-03 02:00:00,10.147472,4.4841833,15.652776,21.565208766363188,BF9,1,2017
43.5,10.0,2017-01-03 03:00:00,10.104954,2.9727745,13.8755665,20.474826833564276,BF8,1,2017
43.5,10.0,2017-01-03 04:00:00,8.865913,1.3419229,10.134569,17.430246352659186,BF8,1,2017
43.5,10.0,2017-01-03 05:00:00,5.6081166,-0.15570432,8.000307,10.905507419138514,BF6,1,2017
43.5,10.0,2017-01-03 06:00:00,2.1586847,-2.1199453,7.1143875,5.881242066662667,BF4,1,2017
43.5,10.0,2017-01-03 07:00:00,-1.9758425,-3.684513,7.061366,8.126941655689576,BF5,1,2017
43.5,10.0,2017-01-03 08:00:00,-6.182832,-4.3926373,11.1043825,14.742836155883541,BF7,1,2017
43.5,10.0,2017-01-03 09:00:00,-8.58366,-4.311259,13.510461,18.671653243591987,BF8,1,2017
43.5,10.0,2017-01-03 10:00:00,-7.361986,-4.6951814,13.954762,16.973176419433486,BF7,1,2017
43.5,10.0,2017-01-03 11:00:00,-7.483555,-4.790998,13.803082,17.2725929444731,BF8,1,2017
43.5,10.0,2017-01-03 12:00:00,-8.328546,-4.292227,13.505762,18.212887475005672,BF8,1,2017
43.5,10.0,2017-01-03 13:00:00,-8.365076,-3.8833652,13.144683,17.927160236509124,BF8,1,2017
43.5,10.0,2017-01-03 14:00:00,-7.715314,-3.6963258,12.391651,16.629688246715265,BF7,1,2017
43.5,10.0,2017-01-03 15:00:00,-7.3386307,-3.493536,11.577544,15.799078951410937,BF7,1,2017
43.5,10.0,2017-01-03 16:00:00,-6.8296003,-3.3439045,10.506387,14.781545935991632,BF7,1,2017
43.5,10.0,2017-01-03 17:00:00,-6.1528883,-3.1575212,9.445296,13.443195499693195,BF6,1,2017
43.5,10.0,2017-01-03 18:00:00,-5.3959303,-2.5891843,8.482194,11.633862835376856,BF6,1,2017
43.5,10.0,2017-01-03 19:00:00,-4.491053,-2.390332,7.7123833,9.8894213260114,BF5,1,2017
43.5,10.0,2017-01-03 20:00:00,-3.6017466,-2.3187976,6.73116,8.326691196355839,BF5,1,2017
43.5,10.0,2017-01-03 21:00:00,-3.0220504,-1.9263432,5.9512825,6.966340182460764,BF4,1,2017
43.5,10.0,2017-01-03 22:00:00,-2.8777251,-1.338974,5.4787903,6.1697248346613724,BF4,1,2017
43.5,10.0,2017-01-03 23:00:00,-2.7741222,-1.2785964,5.0244217,5.937661592315538,BF4,1,2017
43.5,10.0,2017-01-04 00:00:00,-2.5411658,-0.90320534,4.3901844,5.242366477857013,BF3,1,2017
43.5,10.0,2017-01-04 01:00:00,-2.3639035,-0.7010717,3.823061,4.7928841009845256,BF3,1,2017
43.5,10.0,2017-01-04 02:00:00,-2.1537037,-0.374245,3.4237251,4.249200885525112,BF3,1,2017
43.5,10.0,2017-01-04 03:00:00,-1.8375058,0.31090957,3.3673496,3.622594192771806,BF3,1,2017
43.5,10.0,2017-01-04 04:00:00,-1.1673818,0.91665447,3.5901718,2.8851757647093863,BF2,1,2017
43.5,10.0,2017-01-04 05:00:00,-0.13135457,1.1187882,4.084139,2.18968810797273,BF2,1,2017
43.5,10.0,2017-01-04 06:00:00,0.6447675,1.177197,4.474077,2.609040421955628,BF2,1,2017
43.5,10.0,2017-01-04 07:00:00,1.5292833,0.99672043,4.5015945,3.5483330456451103,BF3,1,2017
43.5,10.0,2017-01-04 08:00:00,2.2718692,0.5517637,4.952608,4.5445374724432845,BF3,1,2017
43.5,10.0,2017-01-04 09:00:00,2.9479818,0.104181886,5.2868423,5.733995554685546,BF4,1,2017
43.5,10.0,2017-01-04 10:00:00,2.998286,-0.27449065,5.8465824,5.852574602779523,BF4,1,2017
43.5,10.0,2017-01-04 11:00:00,3.984608,-0.092701614,7.801646,7.747554046449827,BF4,1,2017
43.5,10.0,2017-01-04 12:00:00,4.769114,0.13896465,9.324489,9.274350705221096,BF5,1,2017
43.5,10.0,2017-01-04 13:00:00,6.3147707,1.1870412,10.608401,12.489922515989585,BF6,1,2017
43.5,10.0,2017-01-04 14:00:00,7.6861596,1.7954111,11.770836,15.342900228132446,BF7,1,2017
43.5,10.0,2017-01-04 15:00:00,7.4777565,2.0605476,11.766138,15.077355424673325,BF7,1,2017
43.5,10.0,2017-01-04 16:00:00,6.936986,2.9242098,10.722497,14.63351871158865,BF7,1,2017
43.5,10.0,2017-01-04 17:00:00,6.0015674,3.202472,9.338583,13.223092357878327,BF6,1,2017
43.5,10.0,2017-01-04 18:00:00,4.6313763,3.138813,7.9888973,10.875422251822,BF6,1,2017
43.5,10.0,2017-01-04 19:00:00,2.8821073,3.617896,7.177475,8.991350204880884,BF5,1,2017
43.5,10.0,2017-01-04 20:00:00,1.3502243,3.6822114,6.6976023,7.623684332620788,BF4,1,2017
43.5,10.0,2017-01-04 21:00:00,0.20520449,2.6216657,5.6593304,5.11169752492265,BF3,1,2017
43.5,10.0,2017-01-04 22:00:00,0.2028091,2.3525915,4.1378307,4.590033205547492,BF3,1,2017
43.5,10.0,2017-01-04 23:00:00,1.1945207,0.65939337,4.1781006,2.6522469516080953,BF2,1,2017
43.5,10.0,2017-01-05 00:00:00,1.9538747,-2.5078058,7.4009686,6.179688136738216,BF4,1,2017
43.5,10.0,2017-01-05 01:00:00,3.2348356,-7.5066776,11.672848,15.888996120374168,BF7,1,2017
43.5,10.0,2017-01-05 02:00:00,0.24832249,-11.161492,14.969543,21.70157435606097,BF9,1,2017
43.5,10.0,2017-01-05 03:00:00,-1.6057472,-9.894218,16.203121,19.48445790606138,BF8,1,2017
43.5,10.0,2017-01-05 04:00:00,-0.6655376,-9.749181,16.695745,18.994997982267982,BF8,1,2017
43.5,10.0,2017-01-05 05:00:00,-0.47450113,-10.683722,15.80714,20.787965711988747,BF9,1,2017
43.5,10.0,2017-01-05 06:00:00,-0.69308496,-11.103084,15.050081,21.624676544472685,BF9,1,2017
43.5,10.0,2017-01-05 07:00:00,-0.8104615,-11.157555,15.798416,21.745693127076255,BF9,1,2017
43.5,10.0,2017-01-05 08:00:00,-0.6062503,-11.194306,15.891035,21.791878267553233,BF9,1,2017
43.5,10.0,2017-01-05 09:00:00,-0.5661268,-11.701609,16.477621,22.7727123121885,BF9,1,2017
43.5,10.0,2017-01-05 10:00:00,-0.14153528,-12.050749,17.600456,23.42639732632602,BF9,1,2017
43.5,10.0,2017-01-05 11:00:00,0.0051853657,-13.320648,18.048115,25.893270588246565,BF10,1,2017
43.5,10.0,2017-01-05 12:00:00,-1.6416788,-12.141315,16.787022,23.81559769520764,BF9,1,2017
43.5,10.0,2017-01-05 13:00:00,-3.7137332,-10.14951,15.539351,21.008307902186406,BF9,1,2017
43.5,10.0,2017-01-05 14:00:00,-3.7167277,-9.466981,14.702425,19.7697483573918,BF8,1,2017
43.5,10.0,2017-01-05 15:00:00,-3.4819746,-8.996429,14.152081,18.75179236520521,BF8,1,2017
43.5,10.0,2017-01-05 16:00:00,-4.111975,-8.662384,13.252068,18.63915144409893,BF8,1,2017
43.5,10.0,2017-01-05 17:00:00,-4.8282113,-8.609225,12.454068,19.187072918826917,BF8,1,2017
43.5,10.0,2017-01-05 18:00:00,-4.6383724,-8.103891,11.817817,18.15050720479993,BF8,1,2017
43.5,10.0,2017-01-05 19:00:00,-4.6222034,-7.785596,12.634608,17.6001424653517,BF8,1,2017
43.5,10.0,2017-01-05 20:00:00,-5.3276606,-7.454832,12.733938,17.81122638722227,BF8,1,2017
43.5,10.0,2017-01-05 21:00:00,-6.1259403,-7.2015085,13.141998,18.37821135031227,BF8,1,2017
43.5,10.0,2017-01-05 22:00:00,-6.7092295,-7.4830523,13.971541,19.536346117530815,BF8,1,2017
43.5,10.0,2017-01-05 23:00:00,-6.8068438,-6.509135,14.509134,18.307461107084176,BF8,1,2017
43.5,10.0,2017-01-06 00:00:00,-5.869029,-6.889776,14.552759,17.593083325184974,BF8,1,2017
43.5,10.0,2017-01-06 01:00:00,-5.1234493,-7.252698,14.301077,17.261006410729138,BF8,1,2017
43.5,10.0,2017-01-06 02:00:00,-5.3348465,-6.412006,13.778921,16.213854617574906,BF7,1,2017
43.5,10.0,2017-01-06 03:00:00,-5.4270706,-5.4512143,12.899041,14.952300624274725,BF7,1,2017
43.5,10.0,2017-01-06 04:00:00,-5.436652,-4.6892753,11.823186,13.956003353058456,BF7,1,2017
43.5,10.0,2017-01-06 05:00:00,-5.936102,-4.1124063,11.051362,14.037355759073153,BF7,1,2017
43.5,10.0,2017-01-06 06:00:00,-6.5367575,-3.4239702,10.545314,14.344040677756743,BF7,1,2017
43.5,10.0,2017-01-06 07:00:00,-6.8212166,-2.6272485,11.00975,14.208882378068317,BF7,1,2017
43.5,10.0,2017-01-06 08:00:00,-6.9026613,-1.9420938,10.853372,13.938661099892146,BF7,1,2017
43.5,10.0,2017-01-06 09:00:00,-7.0152464,-1.6566129,10.891627,14.011606508440726,BF7,1,2017
43.5,10.0,2017-01-06 10:00:00,-3.6221075,-3.178522,10.739947,9.367367365682089,BF5,1,2017
43.5,10.0,2017-01-06 11:00:00,-2.0560899,-3.7698293,10.133898,8.347022691948974,BF5,1,2017
43.5,10.0,2017-01-06 12:00:00,-2.0093784,-4.104531,9.286233,8.883342718228024,BF5,1,2017
43.5,10.0,2017-01-06 13:00:00,-1.9608707,-4.1084685,8.87616,8.84919652220417,BF5,1,2017
43.5,10.0,2017-01-06 14:00:00,-2.63878,-2.904198,8.683539,7.627583898674453,BF4,1,2017
43.5,10.0,2017-01-06 15:00:00,-3.5502448,-1.5627651,8.764077,7.540130697737657,BF4,1,2017
43.5,10.0,2017-01-06 16:00:00,-4.175454,-0.74241716,9.254018,8.24373437581921,BF5,1,2017
