latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month,year
-11.75,43.0,2017-01-01 00:00:00,0.5518539,-2.0683808,3.3137121,4.161253964736094,BF3,1,2017
-11.75,43.0,2017-01-01 01:00:00,0.73970854,-2.5652769,3.6814432,5.1896694960318905,BF3,1,2017
-11.75,43.0,2017-01-01 02:00:00,0.71535707,-3.256956,4.287777,6.481926826090439,BF4,1,2017
-11.75,43.0,2017-01-01 03:00:00,0.43357506,-3.358323,4.354025,6.582237874043448,BF4,1,2017
-11.75,43.0,2017-01-01 04:00:00,0.21719432,-2.8773274,3.6741447,5.608988993620949,BF4,1,2017
-11.75,43.0,2017-01-01 05:00:00,0.24154586,-2.5401008,3.0683727,4.959835131951656,BF3,1,2017
-11.75,43.0,2017-01-01 06:00:00,0.33756047,-2.6567059,3.040863,5.205742240701203,BF3,1,2017
-11.75,43.0,2017-01-01 07:00:00,0.82946134,-3.081386,4.9233046,6.202949507991868,BF4,1,2017
-11.75,43.0,2017-01-01 08:00:00,1.442424,-3.2278051,5.3904066,6.872339298576178,BF4,1,2017
-11.75,43.0,2017-01-01 09:00:00,2.193147,-3.1297507,5.912527,7.428750378542723,BF4,1,2017
-11.75,43.0,2017-01-01 10:00:00,2.9076905,-3.1907034,6.5794945,8.391298246370837,BF5,1,2017
-11.75,43.0,2017-01-01 11:00:00,2.9765704,-2.9952574,6.706376,8.208350997982203,BF5,1,2017
-11.75,43.0,2017-01-01 12:00:00,2.3949168,-2.4930613,6.270714,6.719907525719008,BF4,1,2017
-11.75,43.0,2017-01-01 13:00:00,1.7339468,-2.5838275,5.7070475,6.048679380063593,BF4,1,2017
-11.75,43.0,2017-01-01 14:00:00,1.063236,-3.0356717,5.6217117,6.252345978224204,BF4,1,2017
-11.75,43.0,2017-01-01 15:00:00,0.5240236,-3.1569142,5.271947,6.220517472855722,BF4,1,2017
-11.75,43.0,2017-01-01 16:00:00,0.01542449,-3.1410136,5.0513086,6.1057156477973376,BF4,1,2017
-11.75,43.0,2017-01-01 17:00:00,-0.54257333,-3.201304,4.920498,6.3115804092228025,BF4,1,2017
-11.75,43.0,2017-01-01 18:00:00,-0.8000039,-3.0442848,4.6903152,6.118534633148464,BF4,1,2017
-11.75,43.0,2017-01-01 19:00:00,-0.71790445,-2.8183627,4.425886,5.653398662009468,BF4,1,2017
-11.75,43.0,2017-01-01 20:00:00,-0.3742,-2.6275544,4.23388,5.159092129637732,BF3,1,2017
-11.75,43.0,2017-01-01 21:00:00,-0.07780707,-2.7289214,4.456764,5.306754569932947,BF3,1,2017
-11.75,43.0,2017-01-01 22:00:00,0.2707677,-3.3901243,4.8037224,6.610859956055307,BF4,1,2017
-11.75,43.0,2017-01-01 23:00:00,0.19423431,-3.5020914,5.0395184,6.817983278954927,BF4,1,2017
-11.75,43.0,2017-01-02 00:00:00,0.24780768,-3.612071,5.1776285,7.037808598483905,BF4,1,2017
-11.75,43.0,2017-01-02 01:00:00,0.20049614,-3.8572063,5.5302,7.5079315720814614,BF4,1,2017
-11.75,43.0,2017-01-02 02:00:00,0.18031913,-3.82408,5.804734,7.441676198597622,BF4,1,2017
-11.75,43.0,2017-01-02 03:00:00,0.08778334,-3.6511602,6.1909914,7.0993387068336204,BF4,1,2017
-11.75,43.0,2017-01-02 04:00:00,0.50871694,-3.5789447,6.3577337,7.026840010715621,BF4,1,2017
-11.75,43.0,2017-01-02 05:00:00,0.87955594,-3.6047835,6.3566113,7.212706429107755,BF4,1,2017
-11.75,43.0,2017-01-02 06:00:00,1.5168703,-3.4477644,6.6805506,7.3218650725100245,BF4,1,2017
-11.75,43.0,2017-01-02 07:00:00,2.1834064,-3.1920285,5.940037,7.5175052259576525,BF4,1,2017
-11.75,43.0,2017-01-02 08:00:00,2.7386212,-3.612071,6.607566,8.81123576883428,BF5,1,2017
-11.75,43.0,2017-01-02 09:00:00,3.107373,-4.144081,7.32057,10.068509393498832,BF5,1,2017
-11.75,43.0,2017-01-02 10:00:00,3.0920663,-3.8413057,7.529418,9.585440672504905,BF5,1,2017
-11.75,43.0,2017-01-02 11:00:00,2.658609,-3.7074752,7.276779,8.868187054675264,BF5,1,2017
-11.75,43.0,2017-01-02 12:00:00,2.225152,-3.5345554,7.0151567,8.11875307173337,BF5,1,2017
-11.75,43.0,2017-01-02 13:00:00,1.9551978,-3.5405183,6.831011,7.861900184389026,BF4,1,2017
-11.75,43.0,2017-01-02 14:00:00,1.6796776,-3.7790284,6.851222,8.038771806937673,BF5,1,2017
-11.75,43.0,2017-01-02 15:00:00,1.1056772,-4.2295475,6.998314,8.497867916458873,BF5,1,2017
-11.75,43.0,2017-01-02 16:00:00,0.63047457,-4.4541445,6.8197823,8.744470645945842,BF5,1,2017
-11.75,43.0,2017-01-02 17:00:00,-0.055542827,-4.363378,6.4161215,8.48241552980022,BF5,1,2017
-11.75,43.0,2017-01-02 18:00:00,-0.45421207,-4.0943913,5.999547,8.00768363007054,BF5,1,2017
-11.75,43.0,2017-01-02 19:00:00,-0.7172086,-3.8578691,5.5936403,7.6275879719284445,BF4,1,2017
-11.75,43.0,2017-01-02 20:00:00,-0.5669249,-3.838656,5.5582714,7.542688582179704,BF4,1,2017
-11.75,43.0,2017-01-02 21:00:00,-0.34289086,-3.8472686,5.6677485,7.508135442878996,BF4,1,2017
-11.75,43.0,2017-01-02 22:00:00,-1.0351701,-3.5908704,5.940037,7.264344053645125,BF4,1,2017
-11.75,43.0,2017-01-02 23:00:00,-0.7005104,-3.9042459,6.2999077,7.710437617416407,BF4,1,2017
-11.75,43.0,2017-01-03 00:00:00,-0.30392838,-4.349465,6.7119894,8.47529959666862,BF5,1,2017
-11.75,43.0,2017-01-03 01:00:00,0.017511785,-4.888763,7.219514,9.503055903550491,BF5,1,2017
-11.75,43.0,2017-01-03 02:00:00,0.08708757,-5.2405653,7.49854,10.188250482801218,BF5,1,2017
-11.75,43.0,2017-01-03 03:00:00,0.22136885,-5.255141,7.496294,10.224235619132799,BF5,1,2017
-11.75,43.0,2017-01-03 04:00:00,0.27007192,-5.3916216,7.3087797,10.49361403714156,BF5,1,2017
-11.75,43.0,2017-01-03 05:00:00,0.51428294,-5.6208563,7.09151,10.97170859572666,BF6,1,2017
-11.75,43.0,2017-01-03 06:00:00,0.8231995,-5.7049975,6.9848404,11.204481251378546,BF6,1,2017
-11.75,43.0,2017-01-03 07:00:00,1.2009962,-5.418785,7.913991,10.788883942528674,BF6,1,2017
-11.75,43.0,2017-01-03 08:00:00,1.6344533,-5.2279773,7.979677,10.647439742780858,BF5,1,2017
-11.75,43.0,2017-01-03 09:00:00,2.055387,-4.6913295,7.403098,9.956049677680442,BF5,1,2017
-11.75,43.0,2017-01-03 10:00:00,2.1347032,-4.10698,6.944418,8.997342259169276,BF5,1,2017
-11.75,43.0,2017-01-03 11:00:00,2.377523,-4.330914,6.8517838,9.603739066374214,BF5,1,2017
-11.75,43.0,2017-01-03 12:00:00,2.302381,-3.992362,6.714797,8.958553359842456,BF5,1,2017
-11.75,43.0,2017-01-03 13:00:00,2.0880876,-3.6584482,6.578372,8.188259599817066,BF5,1,2017
-11.75,43.0,2017-01-03 14:00:00,1.7582982,-3.657123,6.561529,7.887832985343072,BF4,1,2017
-11.75,43.0,2017-01-03 15:00:00,1.3213623,-3.812817,6.568266,7.843977938270576,BF4,1,2017
-11.75,43.0,2017-01-03 16:00:00,0.64021516,-3.7472267,6.282503,7.389571178576697,BF4,1,2017
-11.75,43.0,2017-01-03 17:00:00,-0.14320832,-3.5113668,6.171342,6.831225388863807,BF4,1,2017
-11.75,43.0,2017-01-03 18:00:00,-0.6441541,-3.2523184,5.9838276,6.4448073500020095,BF4,1,2017
-11.75,43.0,2017-01-03 19:00:00,-0.7464305,-3.143664,4.849758,6.280687932626037,BF4,1,2017
-11.75,43.0,2017-01-03 20:00:00,-0.5307455,-2.938943,4.6032953,5.805257069091024,BF4,1,2017
-11.75,43.0,2017-01-03 21:00:00,-0.1348592,-2.8422136,4.492134,5.531037036828293,BF4,1,2017
