latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month
-24.0,-46.25,2017-01-01 00:00:00,-2.9783645,-0.80234253,2.7832594,5.995872843931214,BF4,1
-24.0,-46.25,2017-01-01 01:00:00,-3.8705502,-1.533861,4.477225,8.09299950804627,BF5,1
-24.0,-46.25,2017-01-01 02:00:00,-3.4427698,-1.9709672,5.446259,7.711301235414156,BF4,1
-24.0,-46.25,2017-01-01 03:00:00,-2.4070141,-2.3913112,5.455477,6.5953604195942415,BF4,1
-24.0,-46.25,2017-01-01 04:00:00,-1.06312,-2.7501936,5.110342,5.731470551605757,BF4,1
-24.0,-46.25,2017-01-01 05:00:00,0.27247253,-2.8722568,5.1770825,5.608286181036601,BF4,1
-24.0,-46.25,2017-01-01 06:00:00,1.0044847,-3.026125,5.472439,6.1979144531637616,BF4,1
-24.0,-46.25,2017-01-01 07:00:00,1.3443649,-3.1705375,4.9905033,6.694173945039091,BF4,1
-24.0,-46.25,2017-01-01 08:00:00,1.4312882,-3.2191048,5.2301807,6.8480793224950425,BF4,1
-24.0,-46.25,2017-01-01 09:00:00,1.3746415,-3.2943196,5.230918,6.938784607461483,BF4,1
-24.0,-46.25,2017-01-01 10:00:00,1.6178317,-2.7433167,4.879145,6.190821440929416,BF4,1
-24.0,-46.25,2017-01-01 11:00:00,1.1768664,-1.7014829,3.76188,4.021484278168643,BF3,1
-24.0,-46.25,2017-01-01 12:00:00,0.498571,-0.50363195,2.389082,1.3775511640391336,BF1,1
-24.0,-46.25,2017-01-01 13:00:00,0.0024240017,0.6748781,3.1966105,1.3118665794047295,BF1,1
-24.0,-46.25,2017-01-01 14:00:00,-0.35747784,2.5573997,5.26521,5.019518345792186,BF3,1
-24.0,-46.25,2017-01-01 15:00:00,-1.2247584,3.5377722,9.713991,7.2773200084651455,BF4,1
-24.0,-46.25,2017-01-01 16:00:00,-1.1075584,3.2712965,8.305426,6.713462097767312,BF4,1
-24.0,-46.25,2017-01-01 17:00:00,-1.0680033,3.6860528,5.531805,7.459809697501662,BF4,1
-24.0,-46.25,2017-01-01 18:00:00,-1.6349587,2.9743052,3.1092205,6.597507070415797,BF4,1
-24.0,-46.25,2017-01-01 19:00:00,-1.4415785,0.5304656,3.4252253,2.985901016511701,BF2,1
-24.0,-46.25,2017-01-01 20:00:00,-1.8459189,-0.8044914,4.332681,3.9141436196353596,BF3,1
-24.0,-46.25,2017-01-01 21:00:00,-2.1384306,-0.5749785,3.4543552,4.304413381990489,BF3,1
-24.0,-46.25,2017-01-01 22:00:00,-1.2682201,-0.5599357,3.4584112,2.6948094060949197,BF2,1
-24.0,-46.25,2017-01-01 23:00:00,-0.69149804,-0.6244055,3.0174055,1.811066230738489,BF2,1
-24.0,-46.25,2017-01-02 00:00:00,-0.54939294,-1.1362966,2.6132727,2.453407932446539,BF2,1
-24.0,-46.25,2017-01-02 01:00:00,-0.18753779,-1.2007664,2.0476341,2.3623993052611607,BF2,1
-24.0,-46.25,2017-01-02 02:00:00,0.043444037,-1.9331447,2.8289824,3.7586814517131732,BF3,1
-24.0,-46.25,2017-01-02 03:00:00,0.5737744,-2.4003367,3.3020687,4.797333200194266,BF3,1
-24.0,-46.25,2017-01-02 04:00:00,0.7500628,-2.716669,3.6254482,5.47836116068623,BF3,1
-24.0,-46.25,2017-01-02 05:00:00,1.0249946,-3.0566406,3.7460241,6.266800853886598,BF4,1
-24.0,-46.25,2017-01-02 06:00:00,1.1929815,-3.0205374,3.946247,6.312812942761429,BF4,1
-24.0,-46.25,2017-01-02 07:00:00,1.3678049,-3.2436032,4.9646916,6.842733550980182,BF4,1
-24.0,-46.25,2017-01-02 08:00:00,1.5411633,-3.2156663,5.4012733,6.9315690579911875,BF4,1
-24.0,-46.25,2017-01-02 09:00:00,1.3575499,-3.0570703,5.1925697,6.502042234422714,BF4,1
-24.0,-46.25,2017-01-02 10:00:00,1.3116465,-2.8774142,4.6125503,6.146954213298237,BF4,1
-24.0,-46.25,2017-01-02 11:00:00,1.4532633,-0.44088113,2.9838505,2.9520530506227236,BF2,1
-24.0,-46.25,2017-01-02 12:00:00,2.8171792,0.2622707,3.4945478,5.499838108885088,BF3,1
-24.0,-46.25,2017-01-02 13:00:00,2.4924374,0.32115328,4.18445,4.8849641443965215,BF3,1
-24.0,-46.25,2017-01-02 14:00:00,1.2891831,0.5072564,4.450676,2.692980448135967,BF2,1
-24.0,-46.25,2017-01-02 15:00:00,0.30714422,0.7002363,5.0598254,1.4863338164199915,BF1,1
-24.0,-46.25,2017-01-02 16:00:00,-0.2270928,1.2447922,6.463228,2.459619200208815,BF2,1
-24.0,-46.25,2017-01-02 17:00:00,-0.8028381,2.2303224,7.742368,4.607726160844159,BF3,1
-24.0,-46.25,2017-01-02 18:00:00,-1.2980084,4.0384884,3.7825289,8.245708231046107,BF5,1
-24.0,-46.25,2017-01-02 19:00:00,-1.8595922,4.867572,6.2276073,10.128780085955988,BF5,1
-24.0,-46.25,2017-01-02 20:00:00,-0.8594848,1.8478009,2.288786,3.961382477771242,BF3,1
-24.0,-46.25,2017-01-02 21:00:00,0.5576594,0.52788675,4.104434,1.4926503423761417,BF1,1
-24.0,-46.25,2017-01-02 22:00:00,2.515389,-0.10735679,2.9222717,4.89397629609884,BF3,1
-24.0,-46.25,2017-01-02 23:00:00,1.9645486,-0.6287035,3.8994179,4.009562344140213,BF3,1
-24.0,-46.25,2017-01-03 00:00:00,1.9518518,-0.9501935,3.6210232,4.2197964439650395,BF3,1
-24.0,-46.25,2017-01-03 01:00:00,2.5046456,-1.2080733,5.6568065,5.4053874957250665,BF3,1
-24.0,-46.25,2017-01-03 02:00:00,1.0801764,-0.8070704,6.854087,2.621051790809439,BF2,1
-24.0,-46.25,2017-01-03 03:00:00,0.81012785,-2.0302796,3.5723505,4.24913136859833,BF3,1
-24.0,-46.25,2017-01-03 04:00:00,1.9611303,-1.5996205,3.9119549,4.919431287357265,BF3,1
-24.0,-46.25,2017-01-03 05:00:00,2.2868488,-0.8401648,3.6803894,4.735786951496801,BF3,1
-24.0,-46.25,2017-01-03 06:00:00,2.3019872,-0.022256494,3.1033201,4.474914221877996,BF3,1
-24.0,-46.25,2017-01-03 07:00:00,1.7662851,0.3662821,3.3094425,3.5064311930754255,BF3,1
-24.0,-46.25,2017-01-03 08:00:00,1.3184831,0.55410457,2.94034,2.7800575473583256,BF2,1
