latitude,longitude,time,u10,v10,i10fg,windspeed,bf,month
30.0,32.5,2016-01-01 00:00:00,3.2653108,-1.9298382,7.1887426,7.37292036483009,BF4,1
30.0,32.5,2016-01-01 01:00:00,3.2731438,-2.2435796,8.318262,7.7136882416758485,BF4,1
30.0,32.5,2016-01-01 02:00:00,3.6373744,-2.357107,9.6128235,8.425270009955664,BF5,1
30.0,32.5,2016-01-01 03:00:00,3.612135,-2.3513036,9.6016,8.377980426678903,BF5,1
30.0,32.5,2016-01-01 04:00:00,3.534676,-2.1101036,8.796344,8.002048329317889,BF5,1
30.0,32.5,2016-01-01 05:00:00,3.6086538,-1.9642954,8.131603,7.986537329272234,BF5,1
30.0,32.5,2016-01-01 06:00:00,3.883676,-2.1024868,8.134513,8.584531093862088,BF5,1
30.0,32.5,2016-01-01 07:00:00,4.8545227,-2.8725135,10.629683,10.964682948379398,BF6,1
30.0,32.5,2016-01-01 08:00:00,5.1713204,-3.386832,11.597071,12.016227521646972,BF6,1
30.0,32.5,2016-01-01 09:00:00,5.3706245,-3.2192612,12.063096,12.171517052476394,BF6,1
30.0,32.5,2016-01-01 10:00:00,6.4206705,-2.8627205,12.552817,13.665127016440026,BF6,1
30.0,32.5,2016-01-01 11:00:00,6.790558,-2.7731318,13.033394,14.258061099341447,BF7,1
30.0,32.5,2016-01-01 12:00:00,6.7857714,-2.6755636,13.47697,14.178787816207189,BF7,1
30.0,32.5,2016-01-01 13:00:00,6.6952577,-2.7354102,13.14647,14.05884023663762,BF7,1
30.0,32.5,2016-01-01 14:00:00,6.295344,-2.8699746,12.566952,13.448834620920318,BF6,1
30.0,32.5,2016-01-01 15:00:00,5.415011,-3.3019586,11.8095045,12.328522222277838,BF6,1
30.0,32.5,2016-01-01 16:00:00,4.8780212,-3.7314036,11.15391,11.938190853830362,BF6,1
30.0,32.5,2016-01-01 17:00:00,4.2143993,-3.3244462,11.217099,10.43413722975982,BF5,1
30.0,32.5,2016-01-01 18:00:00,4.098211,-2.9203908,9.707193,9.782003086658035,BF5,1
30.0,32.5,2016-01-01 19:00:00,3.8653994,-2.477163,8.266712,8.92426799700543,BF5,1
30.0,32.5,2016-01-01 20:00:00,3.34364,-1.630605,7.59241,7.231206450908578,BF4,1
30.0,32.5,2016-01-01 21:00:00,3.1791487,-1.1438525,7.055296,6.567601534747118,BF4,1
30.0,32.5,2016-01-01 22:00:00,3.3640926,-0.85441226,6.4745307,6.746887731733574,BF4,1
30.0,32.5,2016-01-01 23:00:00,3.2648757,-0.3712867,6.086661,6.387316480818473,BF4,1
30.0,32.5,2016-01-02 00:00:00,3.2622647,-0.21024483,5.924529,6.354490988258165,BF4,1
30.0,32.5,2016-01-02 01:00:00,3.0603495,-0.14278132,5.740779,5.955314387710128,BF4,1
30.0,32.5,2016-01-02 02:00:00,2.9289308,-0.09599215,5.30427,5.696442797518949,BF4,1
30.0,32.5,2016-01-02 03:00:00,2.8614807,-0.1601913,5.179137,5.570982732115126,BF4,1
30.0,32.5,2016-01-02 04:00:00,2.7640042,-0.15475065,5.051095,5.381208697129727,BF3,1
30.0,32.5,2016-01-02 05:00:00,2.5677462,-0.107961476,4.8848057,4.99570910034331,BF3,1
30.0,32.5,2016-01-02 06:00:00,2.4228373,0.075205505,4.6266413,4.71188716655919,BF3,1
30.0,32.5,2016-01-02 07:00:00,2.6778421,0.16987199,5.6106577,5.215771637925331,BF3,1
30.0,32.5,2016-01-02 08:00:00,3.0216203,0.04002291,6.2400627,5.874075143735205,BF4,1
30.0,32.5,2016-01-02 09:00:00,3.5916824,-0.69518393,7.446907,7.111247209255197,BF4,1
30.0,32.5,2016-01-02 10:00:00,3.8771486,-2.275498,8.244679,8.738693873976235,BF5,1
