time,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12
00:00:00,89,416,862,466,74,21,1,0,1,0,0,0
01:00:00,97,447,885,401,70,18,2,1,0,0,0,0
02:00:00,102,479,868,382,68,17,2,1,0,0,0,0
03:00:00,123,482,881,341,71,13,3,1,0,0,0,0
04:00:00,142,496,871,322,75,9,2,1,0,0,0,0
05:00:00,145,506,769,390,90,16,1,1,0,0,0,0
06:00:00,149,451,651,474,168,15,2,1,0,0,0,0
07:00:00,126,375,617,522,220,49,6,1,0,0,0,0
08:00:00,102,288,609,536,296,81,9,4,0,0,0,0
09:00:00,56,222,560,604,342,114,19,6,1,0,0,0
10:00:00,59,139,434,633,478,149,33,6,0,0,0,0
11:00:00,39,122,353,641,544,183,40,7,1,0,0,0
12:00:00,38,98,310,607,580,241,46,9,2,0,0,0
13:00:00,26,99,255,561,619,302,57,7,2,0,0,0
14:00:00,28,101,227,528,627,346,69,5,2,0,0,0
15:00:00,21,134,277,481,602,363,51,2,0,0,0,0
16:00:00,25,173,315,445,581,364,21,3,0,0,0,0
17:00:00,38,181,320,412,589,372,19,0,0,0,0,0
18:00:00,40,201,332,411,608,335,5,0,0,0,0,0
19:00:00,34,214,407,540,592,139,2,0,0,0,0,0
20:00:00,34,259,530,662,390,50,3,0,0,0,0,0
21:00:00,49,285,656,682,233,22,4,0,0,0,0,0
22:00:00,57,332,782,604,126,20,5,0,0,0,0,0
23:00:00,73,374,837,536,87,17,2,1,0,0,0,0
